ms12,ms16,r12,r16
Isolated parent,Isolated parent,36440.66,41922.262
Married or pacsed couple,Married or pacsed couple,57781.027,54736.254
Isolated parent,Married or pacsed couple,18327.598,11175.671
Married or pacsed couple,Married or pacsed couple,34794.863,34249.754
Married or pacsed couple,Married or pacsed couple,57432.824,53106.813
Married or pacsed couple,Married or pacsed couple,43814.035,50649.559
Married or pacsed couple,Married or pacsed couple,64621.738,67669.516
Married or pacsed couple,Married or pacsed couple,35282.434,39058.762
Married or pacsed couple,Married or pacsed couple,39025.684,39058.762
Married or pacsed couple,Married or pacsed couple,64961.934,60902.57
Married or pacsed couple,Married or pacsed couple,95469.313,43581.441
Married or pacsed couple,Married or pacsed couple,47670.766,49608.012
Married or pacsed couple,Married or pacsed couple,32781.574,21872.908
Isolated parent,Isolated parent,37214.828,33142.461
Married or pacsed couple,Married or pacsed couple,9523.2988,56875.809
Married or pacsed couple,Isolated parent,53219.371,10155.278
Married or pacsed couple,Married or pacsed couple,37324.008,52385.609
Married or pacsed couple,Married or pacsed couple,,58108.656
Married or pacsed couple,Isolated parent,26537.467,39039.93
Married or pacsed couple,Married or pacsed couple,,43581.441
,Married or pacsed couple,,43405.219
Married or pacsed couple,Married or pacsed couple,32781.574,21872.908
Married or pacsed couple,Married or pacsed couple,62653.988,63385.547
Married or pacsed couple,Married or pacsed couple,62798.859,62862.734
Cohabitant,Cohabitant,42343.188,24083.531
Isolated parent,Isolated parent,,22015.387
Married or pacsed couple,Married or pacsed couple,53219.371,59869.273
Married or pacsed couple,Married or pacsed couple,49072.848,41922.262
Married or pacsed couple,Married or pacsed couple,39258.277,40820.926
Married or pacsed couple,Married or pacsed couple,25395.465,18748.207
Married or pacsed couple,Married or pacsed couple,34342.605,40396.156
Married or pacsed couple,Married or pacsed couple,53219.371,67352.93
Married or pacsed couple,Married or pacsed couple,36981.316,74836.594
Married or pacsed couple,Married or pacsed couple,76027.672,67352.93
Married or pacsed couple,Married or pacsed couple,,10784.222
Married or pacsed couple,Married or pacsed couple,72986.563,70864.914
Married or pacsed couple,Married or pacsed couple,64503.945,113739.12
Married or pacsed couple,Married or pacsed couple,33615.996,38269.613
Married or pacsed couple,Married or pacsed couple,15872.165,29505.24
Married or pacsed couple,Married or pacsed couple,,132477.52
Married or pacsed couple,Married or pacsed couple,15872.165,21570.979
Married or pacsed couple,Married or pacsed couple,51698.816,64359.469
Married or pacsed couple,Isolated parent,46969.727,28122.309
Married or pacsed couple,Married or pacsed couple,42086.563,36565.953
Married or pacsed couple,Married or pacsed couple,55978.98,63611.102
Married or pacsed couple,Married or pacsed couple,37464.66,21570.979
Isolated parent,Isolated parent,18327.598,24955.533
Married or pacsed couple,Married or pacsed couple,39025.684,41625.527
Married or pacsed couple,Married or pacsed couple,30007.279,58357.574
Married or pacsed couple,Married or pacsed couple,37324.008,39061.898
Married or pacsed couple,Married or pacsed couple,25076.477,29505.24
Married or pacsed couple,Married or pacsed couple,44909.441,56128.77
Married or pacsed couple,Isolated parent,26537.467,19844.516
Married or pacsed couple,Married or pacsed couple,68746.531,49603.094
,Married or pacsed couple,,59051.301
Married or pacsed couple,Married or pacsed couple,25219.227,26559.957
Married or pacsed couple,Married or pacsed couple,45269.797,41908.488
Married or pacsed couple,Married or pacsed couple,28392.99,22358.541
Married or pacsed couple,Married or pacsed couple,49952.875,41811.879
Married or pacsed couple,Married or pacsed couple,108327.52,120847.82
Married or pacsed couple,Isolated parent,21655.492,14361.732
Married or pacsed couple,Married or pacsed couple,42062.445,47511.895
Married or pacsed couple,Married or pacsed couple,51513.91,27415.676
Married or pacsed couple,Married or pacsed couple,25553.693,19197.734
Married or pacsed couple,Married or pacsed couple,25553.693,31870.115
Married or pacsed couple,Married or pacsed couple,49072.848,48909.313
Married or pacsed couple,Married or pacsed couple,71207.133,59869.273
Isolated parent,Isolated parent,20201.969,14781.537
Married or pacsed couple,Married or pacsed couple,37725.891,30668.797
Married or pacsed couple,Married or pacsed couple,43814.035,50649.559
Married or pacsed couple,Married or pacsed couple,,27830.551
Married or pacsed couple,Married or pacsed couple,39415.941,41922.262
Married or pacsed couple,Married or pacsed couple,,27830.551
Married or pacsed couple,Isolated parent,57740.707,33537.813
Married or pacsed couple,Married or pacsed couple,19439.352,5102.3994
Isolated parent,Married or pacsed couple,39522.363,44901.957
Married or pacsed couple,Married or pacsed couple,51123.652,50888.879
Married or pacsed couple,Married or pacsed couple,49952.875,49392.148
Married or pacsed couple,Married or pacsed couple,42062.445,54135.617
Married or pacsed couple,Married or pacsed couple,,35539.434
Married or pacsed couple,Married or pacsed couple,59301.582,44901.957
Married or pacsed couple,Married or pacsed couple,25818.182,33659.242
Married or pacsed couple,Married or pacsed couple,,39061.898
Married or pacsed couple,Married or pacsed couple,,49539.137
Married or pacsed couple,Married or pacsed couple,25818.182,33659.242
Isolated parent,Isolated parent,35100.836,16583.5
Married or pacsed couple,Married or pacsed couple,53219.371,50649.559
Married or pacsed couple,Married or pacsed couple,49952.875,15560.548
Married or pacsed couple,Married or pacsed couple,49072.848,48909.313
Married or pacsed couple,Married or pacsed couple,76027.672,87970.367
Married or pacsed couple,Married or pacsed couple,,30756.559
Married or pacsed couple,Married or pacsed couple,,16310.892
Married or pacsed couple,Married or pacsed couple,59800.41,24361.553
Married or pacsed couple,Married or pacsed couple,56716.641,59549.176
Married or pacsed couple,Married or pacsed couple,40586.711,40621.113
Married or pacsed couple,Isolated parent,,31247.01
Cohabitant,Isolated parent,43708.77,61122.66
Married or pacsed couple,Married or pacsed couple,51906.863,54135.617
Married or pacsed couple,Married or pacsed couple,39025.684,43581.441
Married or pacsed couple,Married or pacsed couple,16157.422,28723.465
Married or pacsed couple,Married or pacsed couple,48504.723,65098.68
Married or pacsed couple,Cohabitant,31102.965,26218.775
Married or pacsed couple,Married or pacsed couple,33694.879,34442.652
Married or pacsed couple,Married or pacsed couple,44866.609,58390.242
Married or pacsed couple,Married or pacsed couple,60822.133,74836.594
Married or pacsed couple,Married or pacsed couple,46830.824,23473.195
Married or pacsed couple,Married or pacsed couple,64961.934,81203.422
Married or pacsed couple,Isolated parent,23808.246,32472.846
Married or pacsed couple,Married or pacsed couple,22058.113,12482.26
Married or pacsed couple,Married or pacsed couple,71207.133,70864.914
Married or pacsed couple,Married or pacsed couple,91233.211,91494.781
Isolated parent,Isolated parent,19046.598,19844.516
Cohabitant,Isolated parent,59173.215,33142.461
Married or pacsed couple,Married or pacsed couple,,27948.174
Married or pacsed couple,Married or pacsed couple,28392.99,27948.174
Married or pacsed couple,Married or pacsed couple,59301.582,59869.273
Married or pacsed couple,Married or pacsed couple,64503.945,67352.93
Married or pacsed couple,Married or pacsed couple,42176.539,21045.773
Married or pacsed couple,Married or pacsed couple,63863.242,38788.125
Married or pacsed couple,Married or pacsed couple,80960.305,113739.12
Married or pacsed couple,Isolated parent,23808.246,16958.041
Cohabitant,Cohabitant,68424.906,74836.594
Married or pacsed couple,Married or pacsed couple,67284.484,64359.469
Married or pacsed couple,Married or pacsed couple,46830.824,52385.609
Married or pacsed couple,Married or pacsed couple,42062.445,47511.895
Married or pacsed couple,Married or pacsed couple,23825.877,18040.469
Married or pacsed couple,Married or pacsed couple,49748.254,39821.254
Married or pacsed couple,Married or pacsed couple,47965.285,42828.074
Married or pacsed couple,Married or pacsed couple,76027.672,82320.25
Married or pacsed couple,Married or pacsed couple,51292.195,50649.559
Married or pacsed couple,Married or pacsed couple,38041.898,41922.262
Married or pacsed couple,Married or pacsed couple,35876.215,29684.66
Married or pacsed couple,Married or pacsed couple,56854.402,54135.617
Married or pacsed couple,Married or pacsed couple,115549.36,144494.81
Married or pacsed couple,Married or pacsed couple,35876.215,44901.957
Married or pacsed couple,Married or pacsed couple,46050.309,50649.559
Married or pacsed couple,Married or pacsed couple,44911.777,51393.695
Married or pacsed couple,Married or pacsed couple,46830.824,70864.914
Married or pacsed couple,Married or pacsed couple,47670.766,41922.262
Married or pacsed couple,Married or pacsed couple,71207.133,82320.25
Married or pacsed couple,Isolated parent,51325.078,31247.01
Married or pacsed couple,Married or pacsed couple,46830.824,24997.609
Married or pacsed couple,Married or pacsed couple,83341.383,101504.28
Married or pacsed couple,Married or pacsed couple,42062.445,81203.422
Married or pacsed couple,Married or pacsed couple,80589.328,89803.914
Married or pacsed couple,Married or pacsed couple,63246.809,60902.57
Married or pacsed couple,Married or pacsed couple,33348.137,8383.8301
Married or pacsed couple,Married or pacsed couple,31220.549,41811.879
Isolated parent,Isolated parent,20584.918,11954.14
Isolated parent,Cohabitant,32836.617,41922.262
Married or pacsed couple,Married or pacsed couple,60822.133,54135.617
Married or pacsed couple,Isolated parent,34342.605,33374.867
Married or pacsed couple,Married or pacsed couple,60822.133,74836.594
Married or pacsed couple,Married or pacsed couple,46268.688,52782.227
Married or pacsed couple,Married or pacsed couple,57877.238,56235.625
Married or pacsed couple,Married or pacsed couple,64503.945,76333.328
Cohabitant,Married or pacsed couple,63863.242,41922.262
Married or pacsed couple,Married or pacsed couple,,44786.059
Married or pacsed couple,Married or pacsed couple,44911.777,74836.594
Married or pacsed couple,Married or pacsed couple,39025.684,41811.879
Married or pacsed couple,Married or pacsed couple,54739.922,49392.148
Married or pacsed couple,Married or pacsed couple,42176.539,35604.016
Isolated parent,Isolated parent,25568.025,26141.236
Married or pacsed couple,Married or pacsed couple,23808.246,39127.449
Married or pacsed couple,Married or pacsed couple,40660.363,40621.113
Married or pacsed couple,Married or pacsed couple,32381.516,35430.781
Isolated parent,Cohabitant,18580.787,20410.463
Married or pacsed couple,Married or pacsed couple,44911.777,33595.781
Married or pacsed couple,Married or pacsed couple,,28686.051
Isolated parent,Isolated parent,39403.941,39689.031
Married or pacsed couple,Married or pacsed couple,,19447.59
Married or pacsed couple,Married or pacsed couple,28392.99,29052.1
Married or pacsed couple,Married or pacsed couple,24466.07,27415.676
Married or pacsed couple,Married or pacsed couple,44109.508,17642.736
Married or pacsed couple,Married or pacsed couple,82495.828,55106.969
Married or pacsed couple,Married or pacsed couple,48504.723,49945.906
Married or pacsed couple,Married or pacsed couple,84641.016,74610.445
Married or pacsed couple,Married or pacsed couple,53952.047,60924.699
Married or pacsed couple,Married or pacsed couple,39959.32,55489.008
Married or pacsed couple,Married or pacsed couple,39509.59,47336.059
Isolated parent,Isolated parent,19046.598,27510.639
Married or pacsed couple,Married or pacsed couple,60913.605,161010.2
Married or pacsed couple,Isolated parent,25991.107,23754.709
Married or pacsed couple,Married or pacsed couple,36454.117,27515.602
Married or pacsed couple,Married or pacsed couple,132805.19,213260.86
Married or pacsed couple,Married or pacsed couple,24953.031,
Married or pacsed couple,Married or pacsed couple,51292.195,64359.469
Married or pacsed couple,Married or pacsed couple,68424.906,82320.25
Married or pacsed couple,Married or pacsed couple,53219.371,67352.93
Isolated parent,Isolated parent,35480.301,26559.957
Married or pacsed couple,Married or pacsed couple,71207.133,97287.563
Married or pacsed couple,Married or pacsed couple,22221.031,18591.205
Married or pacsed couple,Married or pacsed couple,61871.879,64167.742
Married or pacsed couple,Married or pacsed couple,60822.133,52782.227
Married or pacsed couple,Married or pacsed couple,61871.879,67669.516
Married or pacsed couple,Married or pacsed couple,37324.008,40621.113
Married or pacsed couple,Married or pacsed couple,42062.445,48909.313
Isolated parent,Isolated parent,19046.598,17679.66
Married or pacsed couple,Married or pacsed couple,51513.91,68524.922
Married or pacsed couple,Married or pacsed couple,37011.957,31247.01
Married or pacsed couple,Married or pacsed couple,62342.691,55489.008
Married or pacsed couple,Married or pacsed couple,31853.152,26928.52
Married or pacsed couple,Married or pacsed couple,97315.422,106630.43
Married or pacsed couple,Isolated parent,88430.914,91004.844
Married or pacsed couple,Married or pacsed couple,34342.605,39824.313
Married or pacsed couple,Married or pacsed couple,22714.393,32140.4
Married or pacsed couple,Married or pacsed couple,35052.039,46254.32
Married or pacsed couple,Married or pacsed couple,51513.91,50649.559
Married or pacsed couple,Married or pacsed couple,49952.875,56875.809
Married or pacsed couple,Married or pacsed couple,51513.91,50649.559
Married or pacsed couple,Married or pacsed couple,10153.489,10774.343
Married or pacsed couple,Married or pacsed couple,31220.549,41811.879
Married or pacsed couple,Married or pacsed couple,39822.488,41662.68
Married or pacsed couple,Married or pacsed couple,22714.393,26550.77
Cohabitant,Cohabitant,35929.422,44901.957
Married or pacsed couple,Isolated parent,6090.9971,30742.992
Married or pacsed couple,Married or pacsed couple,42062.445,33100.555
Married or pacsed couple,Married or pacsed couple,56083.258,79850.031
Married or pacsed couple,Married or pacsed couple,68424.906,59869.273
Married or pacsed couple,Married or pacsed couple,51734.281,58372.539
Married or pacsed couple,Married or pacsed couple,70103.539,50784.121
Married or pacsed couple,Married or pacsed couple,78317.492,72053.023
Married or pacsed couple,Married or pacsed couple,42062.445,51026.156
Isolated parent,,29471.926,
Married or pacsed couple,Married or pacsed couple,32247.871,27948.174
Married or pacsed couple,Isolated parent,29088.066,39058.762
Cohabitant,Cohabitant,42062.445,44717.082
Cohabitant,Cohabitant,76610.172,
Isolated parent,Isolated parent,28458.4,30932.965
Married or pacsed couple,Isolated parent,33562.09,28864.754
Isolated parent,Isolated parent,20702.443,27060.705
Married or pacsed couple,Married or pacsed couple,22446.631,17138.447
Married or pacsed couple,Married or pacsed couple,78317.492,36080.938
Married or pacsed couple,Married or pacsed couple,46830.824,41811.879
,Isolated parent,,39401.832
Married or pacsed couple,Married or pacsed couple,72986.563,70864.914
Married or pacsed couple,Married or pacsed couple,52579.852,38666.203
Married or pacsed couple,Married or pacsed couple,31220.549,36984.277
Married or pacsed couple,Married or pacsed couple,46830.824,59869.273
Married or pacsed couple,Married or pacsed couple,25553.693,16768.906
Married or pacsed couple,Married or pacsed couple,55978.98,74184.68
Married or pacsed couple,Married or pacsed couple,55978.98,70864.914
Cohabitant,Cohabitant,50269.496,21926.611
Married or pacsed couple,Married or pacsed couple,43464.523,46813.195
Married or pacsed couple,Married or pacsed couple,35876.215,41635.676
Married or pacsed couple,Married or pacsed couple,24666.063,25513.078
Married or pacsed couple,Married or pacsed couple,31220.549,34371.711
Married or pacsed couple,Married or pacsed couple,34342.605,39058.762
Married or pacsed couple,Married or pacsed couple,56260.477,54736.254
Married or pacsed couple,Married or pacsed couple,,124350.73
Married or pacsed couple,Married or pacsed couple,60913.605,68524.922
Isolated parent,Isolated parent,32336.48,36080.938
Married or pacsed couple,Married or pacsed couple,46830.824,37496.414
Married or pacsed couple,Married or pacsed couple,45768.594,44901.957
Married or pacsed couple,Married or pacsed couple,51292.195,52347.227
Married or pacsed couple,Married or pacsed couple,32781.574,30308.977
Married or pacsed couple,Married or pacsed couple,60822.133,70864.914
Married or pacsed couple,Isolated parent,22221.031,27060.705
Married or pacsed couple,Married or pacsed couple,134055.38,128736.79
Married or pacsed couple,Married or pacsed couple,38088.008,40411.758
Isolated parent,Isolated parent,11663.612,29345.584
Isolated parent,Isolated parent,32860.145,32140.4
Married or pacsed couple,Married or pacsed couple,46830.824,59869.273
Married or pacsed couple,Isolated parent,,59959.301
Married or pacsed couple,Married or pacsed couple,53219.371,59835.848
Married or pacsed couple,Married or pacsed couple,71466.008,70864.914
Married or pacsed couple,,34990.832,
Married or pacsed couple,Married or pacsed couple,32247.871,20961.131
Married or pacsed couple,Married or pacsed couple,49072.848,48722.051
Married or pacsed couple,Married or pacsed couple,60822.133,36984.277
Married or pacsed couple,Married or pacsed couple,35876.215,9357.2627
Married or pacsed couple,Married or pacsed couple,53219.371,30756.559
Married or pacsed couple,Married or pacsed couple,58887.418,54853.113
Married or pacsed couple,Married or pacsed couple,68424.906,67352.93
Married or pacsed couple,Married or pacsed couple,53600.492,27925.529
Married or pacsed couple,Married or pacsed couple,103119.8,94737.328
Married or pacsed couple,Married or pacsed couple,52211.664,56533.059
Married or pacsed couple,Married or pacsed couple,77345.086,73518.852
Married or pacsed couple,Married or pacsed couple,71207.133,18741.086
Married or pacsed couple,Married or pacsed couple,51698.816,52385.609
Married or pacsed couple,Married or pacsed couple,32395.219,27163.598
Married or pacsed couple,Married or pacsed couple,38041.898,41922.262
Married or pacsed couple,Married or pacsed couple,56083.258,89323.773
Cohabitant,Cohabitant,72363.977,85656.148
Married or pacsed couple,Married or pacsed couple,35876.215,44901.957
Married or pacsed couple,Married or pacsed couple,34620.906,44901.957
Married or pacsed couple,Married or pacsed couple,82495.828,83910.203
Married or pacsed couple,Married or pacsed couple,76027.672,21457.607
Married or pacsed couple,Married or pacsed couple,51292.195,61366.004
Married or pacsed couple,Married or pacsed couple,59800.41,64512.781
Married or pacsed couple,Married or pacsed couple,56083.258,50888.328
Married or pacsed couple,Married or pacsed couple,51698.816,31247.01
Married or pacsed couple,Isolated parent,21434.465,23452.611
Married or pacsed couple,Married or pacsed couple,64961.934,39127.449
Married or pacsed couple,Married or pacsed couple,40374.008,42828.074
Married or pacsed couple,Married or pacsed couple,83630.438,89803.914
Married or pacsed couple,Married or pacsed couple,,27463.016
Isolated parent,Isolated parent,18455.445,26289.186
Married or pacsed couple,Married or pacsed couple,38493.809,39545.266
Isolated parent,Cohabitant,12285.056,17609.371
Married or pacsed couple,Married or pacsed couple,17035.795,20961.131
Married or pacsed couple,Married or pacsed couple,36454.117,41922.262
Married or pacsed couple,Married or pacsed couple,43708.77,50888.879
Married or pacsed couple,Married or pacsed couple,40586.711,40845.813
,Isolated parent,,16768.906
Married or pacsed couple,Married or pacsed couple,62395.086,78002.023
,,,
Married or pacsed couple,Married or pacsed couple,95469.313,74836.594
Married or pacsed couple,Married or pacsed couple,23808.246,49392.148
Isolated parent,Isolated parent,9775.2979,20410.463
Isolated parent,Isolated parent,14662.079,17967.773
Married or pacsed couple,Married or pacsed couple,15854.171,13987.228
Cohabitant,Cohabitant,43464.523,38269.613
Married or pacsed couple,Married or pacsed couple,71207.133,70864.914
Married or pacsed couple,Married or pacsed couple,35621.559,47952.797
Married or pacsed couple,Married or pacsed couple,62342.691,67352.93
Married or pacsed couple,Married or pacsed couple,40586.711,64512.781
Married or pacsed couple,Married or pacsed couple,42176.539,39058.762
Married or pacsed couple,Married or pacsed couple,29807.008,35718.309
Married or pacsed couple,Married or pacsed couple,15872.165,13697.445
Isolated parent,Married or pacsed couple,22221.031,27948.174
Isolated parent,Isolated parent,30001.064,38606.605
Married or pacsed couple,Married or pacsed couple,42147.742,49392.148
Married or pacsed couple,Married or pacsed couple,,68524.922
Married or pacsed couple,Married or pacsed couple,68746.531,81203.422
Married or pacsed couple,Married or pacsed couple,69489.289,82320.25
Married or pacsed couple,Married or pacsed couple,19439.352,12756.539
Married or pacsed couple,Married or pacsed couple,42176.539,46398.688
Married or pacsed couple,Married or pacsed couple,33649.953,27948.174
Cohabitant,Married or pacsed couple,29418.221,64512.781
Married or pacsed couple,Married or pacsed couple,36840.25,40621.113
Married or pacsed couple,Married or pacsed couple,36454.117,41922.262
Married or pacsed couple,Married or pacsed couple,53219.371,47895.418
Married or pacsed couple,Married or pacsed couple,48504.723,45410.59
Cohabitant,Cohabitant,15841.356,12470.913
Married or pacsed couple,Married or pacsed couple,73096.32,64512.781
Married or pacsed couple,Isolated parent,49072.848,28122.309
Married or pacsed couple,Married or pacsed couple,56260.477,29401.104
Married or pacsed couple,Married or pacsed couple,28098.492,28122.309
Married or pacsed couple,Married or pacsed couple,35903.629,31247.01
Married or pacsed couple,Married or pacsed couple,48391.848,42656.855
Married or pacsed couple,Married or pacsed couple,43659.359,40859.527
Cohabitant,Cohabitant,44909.441,35430.781
,,,
Married or pacsed couple,Married or pacsed couple,43464.523,47336.059
Married or pacsed couple,Married or pacsed couple,31232.291,20949.031
Married or pacsed couple,Married or pacsed couple,33649.953,46114.488
Married or pacsed couple,Married or pacsed couple,18327.598,48909.313
Married or pacsed couple,Married or pacsed couple,123725.41,90359.789
Married or pacsed couple,Married or pacsed couple,,44717.082
Married or pacsed couple,Isolated parent,40374.008,62108.969
Married or pacsed couple,Married or pacsed couple,61691.586,50075.441
Married or pacsed couple,Married or pacsed couple,73096.32,68524.922
Married or pacsed couple,Married or pacsed couple,35876.215,52385.609
Isolated parent,Married or pacsed couple,,30697.516
Married or pacsed couple,Isolated parent,49395.328,26550.77
Married or pacsed couple,Married or pacsed couple,133520.17,132477.52
Married or pacsed couple,Married or pacsed couple,71207.133,71843.125
Married or pacsed couple,Married or pacsed couple,37464.66,40621.113
Married or pacsed couple,Married or pacsed couple,74780.266,102787.39
Married or pacsed couple,Married or pacsed couple,49952.875,40396.156
Married or pacsed couple,Married or pacsed couple,48391.848,67352.93
Married or pacsed couple,Married or pacsed couple,,22056.904
Married or pacsed couple,Married or pacsed couple,47670.766,47490.641
Married or pacsed couple,Married or pacsed couple,42062.445,27948.174
Married or pacsed couple,Married or pacsed couple,35876.215,36474.805
Married or pacsed couple,Married or pacsed couple,25919.137,23620.52
Cohabitant,Cohabitant,30789.91,22358.541
Married or pacsed couple,Married or pacsed couple,9523.2988,65856.195
Married or pacsed couple,Married or pacsed couple,41060.059,33167
Isolated parent,Isolated parent,8517.8975,12026.625
Married or pacsed couple,Isolated parent,31232.291,19284.24
Married or pacsed couple,Married or pacsed couple,32247.871,26559.957
Married or pacsed couple,Married or pacsed couple,37856.199,29340.037
Married or pacsed couple,Married or pacsed couple,43385.953,67352.93
Married or pacsed couple,Married or pacsed couple,99217.766,142173.91
Married or pacsed couple,Married or pacsed couple,28098.492,12482.26
Married or pacsed couple,Married or pacsed couple,,24740.617
Married or pacsed couple,Married or pacsed couple,42147.742,50649.559
Married or pacsed couple,Married or pacsed couple,71207.133,104771.22
Married or pacsed couple,Married or pacsed couple,62395.086,68524.922
Married or pacsed couple,Married or pacsed couple,,67352.93
Married or pacsed couple,Married or pacsed couple,91233.211,89803.914
Isolated parent,Isolated parent,10674.243,14842.33
Married or pacsed couple,Married or pacsed couple,19428.246,25231.707
Married or pacsed couple,Married or pacsed couple,22785.973,15945.673
Married or pacsed couple,Married or pacsed couple,29978.043,23620.52
Married or pacsed couple,Married or pacsed couple,14053.814,9166.041
Married or pacsed couple,Married or pacsed couple,42062.445,30742.992
Married or pacsed couple,Married or pacsed couple,19046.598,18166.314
Isolated parent,Isolated parent,31787.824,30932.965
Married or pacsed couple,Married or pacsed couple,79829.055,89803.914
Isolated parent,Isolated parent,28458.4,30932.965
Married or pacsed couple,Isolated parent,16617.547,23361.598
Married or pacsed couple,Married or pacsed couple,35334.242,35999.395
Married or pacsed couple,Married or pacsed couple,48371.809,51428.836
Married or pacsed couple,Married or pacsed couple,95469.313,70864.914
Married or pacsed couple,Married or pacsed couple,22714.393,21926.611
Married or pacsed couple,Married or pacsed couple,16797.521,10836.917
Married or pacsed couple,Married or pacsed couple,52211.664,42828.074
Isolated parent,Isolated parent,33917.375,23847.842
,Married or pacsed couple,,25513.078
Married or pacsed couple,Married or pacsed couple,51652.68,48909.313
Married or pacsed couple,Married or pacsed couple,23207.549,20961.131
Married or pacsed couple,Married or pacsed couple,83630.438,104771.22
Isolated parent,Married or pacsed couple,13379.146,9373.751
Married or pacsed couple,Married or pacsed couple,42147.742,43133.113
Married or pacsed couple,Married or pacsed couple,18327.598,56361.875
Married or pacsed couple,Married or pacsed couple,48391.848,41922.262
Isolated parent,Isolated parent,20917.217,28359.617
Isolated parent,Isolated parent,,17399.912
Married or pacsed couple,Married or pacsed couple,34342.605,49392.148
Married or pacsed couple,Married or pacsed couple,19797.078,26262.461
Married or pacsed couple,Married or pacsed couple,39509.59,43133.113
Isolated parent,Isolated parent,20160.357,14061.154
Married or pacsed couple,Married or pacsed couple,27579.549,35604.016
Isolated parent,Isolated parent,26372.193,20529.285
Married or pacsed couple,Married or pacsed couple,12697.732,16098.149
Married or pacsed couple,Married or pacsed couple,31220.549,24507.871
Married or pacsed couple,Married or pacsed couple,73763.016,74836.594
Married or pacsed couple,Married or pacsed couple,6309.2939,11810.26
Married or pacsed couple,Married or pacsed couple,132419.22,84005.5
Married or pacsed couple,Married or pacsed couple,32381.516,31870.115
Married or pacsed couple,Married or pacsed couple,26998.396,30742.992
Married or pacsed couple,Married or pacsed couple,57781.027,60455.949
Isolated parent,Isolated parent,34424.914,49701.492
Married or pacsed couple,Married or pacsed couple,25236.619,47511.895
Married or pacsed couple,Married or pacsed couple,,
Married or pacsed couple,Married or pacsed couple,35052.039,26108.869
Married or pacsed couple,Married or pacsed couple,46192.563,35617.684
Married or pacsed couple,Married or pacsed couple,51373.414,53882.344
Married or pacsed couple,Married or pacsed couple,57781.027,50649.559
Married or pacsed couple,Married or pacsed couple,46830.824,55379.078
Married or pacsed couple,Married or pacsed couple,66904.344,74184.68
Married or pacsed couple,Married or pacsed couple,57485.336,39061.898
Cohabitant,Cohabitant,32381.516,21686.115
Isolated parent,Isolated parent,12829.318,12381.435
Married or pacsed couple,Married or pacsed couple,11020.438,17286.363
Cohabitant,Isolated parent,19758.582,31247.01
Married or pacsed couple,Married or pacsed couple,12939.235,17004.467
Married or pacsed couple,Married or pacsed couple,97461.773,56361.875
Married or pacsed couple,Married or pacsed couple,60822.133,53882.344
Isolated parent,Cohabitant,32547.189,28646.879
Married or pacsed couple,Isolated parent,55978.98,41114.953
Married or pacsed couple,Married or pacsed couple,33649.953,33022.613
Married or pacsed couple,Married or pacsed couple,39025.684,41010.449
Married or pacsed couple,Married or pacsed couple,55978.98,59869.273
Married or pacsed couple,Married or pacsed couple,44911.777,39755.184
Married or pacsed couple,Married or pacsed couple,17957.305,26513.969
Married or pacsed couple,Married or pacsed couple,25919.137,13966.017
Married or pacsed couple,Married or pacsed couple,109994.45,108271.23
Isolated parent,Isolated parent,37825.168,39039.93
Cohabitant,Isolated parent,37464.66,14998.565
Married or pacsed couple,Married or pacsed couple,25387.498,27515.602
Married or pacsed couple,Married or pacsed couple,61871.879,41922.262
Isolated parent,Isolated parent,13637.804,23912.186
Married or pacsed couple,Married or pacsed couple,50634.43,49392.148
Married or pacsed couple,Married or pacsed couple,28263.236,37730.035
Married or pacsed couple,Married or pacsed couple,35903.629,34935.219
Married or pacsed couple,Married or pacsed couple,29659.521,31247.01
Married or pacsed couple,Married or pacsed couple,20584.918,37739.758
Married or pacsed couple,Married or pacsed couple,44099.02,46398.688
Married or pacsed couple,Married or pacsed couple,32398.92,44647.891
Married or pacsed couple,Married or pacsed couple,62395.086,60924.699
Married or pacsed couple,Married or pacsed couple,64961.934,34312.914
Isolated parent,Isolated parent,38309.383,38666.203
Married or pacsed couple,Married or pacsed couple,55978.98,44489.785
Married or pacsed couple,Married or pacsed couple,26148.488,10993.802
Married or pacsed couple,Married or pacsed couple,38493.809,41922.262
Married or pacsed couple,Married or pacsed couple,33649.953,25432.957
Married or pacsed couple,Married or pacsed couple,16201.652,16489.422
Married or pacsed couple,Married or pacsed couple,14335.881,18694.387
Married or pacsed couple,Married or pacsed couple,28392.99,144785.64
Cohabitant,Isolated parent,22221.031,28122.309
Married or pacsed couple,Married or pacsed couple,37464.66,48722.051
Married or pacsed couple,Married or pacsed couple,38159.273,33117.91
Married or pacsed couple,Married or pacsed couple,64394.375,64512.781
Cohabitant,Cohabitant,21324.299,12844.933
Married or pacsed couple,Married or pacsed couple,8514.4922,27797.572
Married or pacsed couple,Married or pacsed couple,49952.875,50140.52
Married or pacsed couple,Isolated parent,20160.357,24997.609
Married or pacsed couple,Married or pacsed couple,42537.996,43405.219
Married or pacsed couple,Married or pacsed couple,41496.34,41635.676
Isolated parent,Isolated parent,25284.957,39037.031
Married or pacsed couple,Married or pacsed couple,54739.922,104771.22
Married or pacsed couple,Married or pacsed couple,57781.027,53882.344
Isolated parent,Isolated parent,12649.346,27905.576
Married or pacsed couple,Married or pacsed couple,129993.03,142173.91
Married or pacsed couple,Married or pacsed couple,,24855.303
Married or pacsed couple,Married or pacsed couple,47670.766,47511.895
