ms12,ms16,r12,r16
Married or pacsed couple,Married or pacsed couple,42062.445,50888.328
Married or pacsed couple,Isolated parent,11920.463,19734.365
Isolated parent,Isolated parent,14196.495,26559.957
Married or pacsed couple,Married or pacsed couple,45768.594,86810.438
Married or pacsed couple,Married or pacsed couple,47683.125,51393.695
Married or pacsed couple,Married or pacsed couple,78317.492,102787.39
Married or pacsed couple,Married or pacsed couple,68746.531,70376.297
Married or pacsed couple,Married or pacsed couple,87019.43,82320.25
Cohabitant,Isolated parent,45269.797,20249.916
Married or pacsed couple,Married or pacsed couple,23996.459,20410.463
Married or pacsed couple,Married or pacsed couple,49072.848,40705.832
Married or pacsed couple,Married or pacsed couple,23327.225,31891.346
Married or pacsed couple,Married or pacsed couple,62342.691,67352.93
Married or pacsed couple,Married or pacsed couple,101744.87,90133.164
Married or pacsed couple,Married or pacsed couple,72986.563,
Married or pacsed couple,Married or pacsed couple,35052.039,31891.346
Married or pacsed couple,Married or pacsed couple,22714.393,27948.174
Married or pacsed couple,Married or pacsed couple,28122.262,17716.117
Isolated parent,Isolated parent,24443.133,31247.01
Married or pacsed couple,Isolated parent,15872.165,5127.436
Isolated parent,Isolated parent,34071.59,36332.629
Married or pacsed couple,Married or pacsed couple,20735.311,25982.57
Married or pacsed couple,Married or pacsed couple,45894.203,40411.758
Married or pacsed couple,Married or pacsed couple,16847.439,17859.154
Married or pacsed couple,Married or pacsed couple,44911.777,40170.688
Married or pacsed couple,Married or pacsed couple,20735.311,21686.115
Married or pacsed couple,Married or pacsed couple,13491.341,13974.087
Married or pacsed couple,Married or pacsed couple,53219.371,49392.148
Isolated parent,Married or pacsed couple,25395.465,29345.584
Married or pacsed couple,Married or pacsed couple,68746.531,69373.469
Married or pacsed couple,Married or pacsed couple,68746.531,81203.422
Married or pacsed couple,Married or pacsed couple,62342.691,50649.559
Married or pacsed couple,Cohabitant,37183.672,44901.957
,,,
Married or pacsed couple,Isolated parent,49952.875,
Married or pacsed couple,Married or pacsed couple,93498.57,142173.91
Married or pacsed couple,Married or pacsed couple,39025.684,44901.957
Married or pacsed couple,Married or pacsed couple,49914.969,67669.516
Married or pacsed couple,Isolated parent,42062.445,42183.461
Married or pacsed couple,Married or pacsed couple,39025.684,23435.258
Married or pacsed couple,Married or pacsed couple,71207.133,67352.93
Married or pacsed couple,Married or pacsed couple,88192.094,109473.91
Married or pacsed couple,Married or pacsed couple,27579.549,35604.016
Married or pacsed couple,Married or pacsed couple,145515.7,170608.67
Married or pacsed couple,Married or pacsed couple,,15353.338
Married or pacsed couple,Isolated parent,68424.906,32472.846
Married or pacsed couple,Married or pacsed couple,18455.445,42828.074
Married or pacsed couple,Married or pacsed couple,,40621.113
Married or pacsed couple,Married or pacsed couple,51166.746,49630.039
Married or pacsed couple,Married or pacsed couple,68424.906,89803.914
Married or pacsed couple,Married or pacsed couple,44909.441,25615.129
,Cohabitant,,26725.369
Isolated parent,Cohabitant,35100.836,34249.754
Married or pacsed couple,Married or pacsed couple,51906.863,54135.617
Married or pacsed couple,Married or pacsed couple,,46254.32
Married or pacsed couple,Married or pacsed couple,64961.934,81203.422
Married or pacsed couple,Married or pacsed couple,71395.461,15623.505
Married or pacsed couple,Married or pacsed couple,46830.824,47895.418
Married or pacsed couple,Married or pacsed couple,46830.824,52385.609
Married or pacsed couple,Married or pacsed couple,38963.242,34371.711
Married or pacsed couple,Married or pacsed couple,58887.418,71843.125
Married or pacsed couple,Married or pacsed couple,47475.695,56119.488
Married or pacsed couple,Married or pacsed couple,46830.824,41908.488
Married or pacsed couple,Married or pacsed couple,78541.953,100867.88
Married or pacsed couple,Married or pacsed couple,54456.594,53882.344
Married or pacsed couple,Married or pacsed couple,55804.309,50140.52
Married or pacsed couple,Married or pacsed couple,35052.039,19298.012
Married or pacsed couple,Cohabitant,68005.727,30444.5
Married or pacsed couple,Married or pacsed couple,31220.549,31247.01
Married or pacsed couple,Married or pacsed couple,35052.039,34935.219
Married or pacsed couple,Married or pacsed couple,56260.477,53882.344
Isolated parent,Married or pacsed couple,10983.538,22439.494
Married or pacsed couple,Married or pacsed couple,51698.816,62862.734
Married or pacsed couple,Married or pacsed couple,74780.266,82229.906
Married or pacsed couple,Married or pacsed couple,56260.477,41162.34
Married or pacsed couple,Cohabitant,32781.574,13960.356
Married or pacsed couple,Isolated parent,42176.539,32534.484
Married or pacsed couple,Married or pacsed couple,31232.291,48909.313
Isolated parent,Isolated parent,17459.383,6249.3486
Married or pacsed couple,Married or pacsed couple,55978.98,44901.957
Isolated parent,Isolated parent,28743.537,34276.895
Married or pacsed couple,Isolated parent,24132.014,16583.5
Married or pacsed couple,Married or pacsed couple,34132.949,27060.705
Married or pacsed couple,Married or pacsed couple,49952.875,74836.594
Married or pacsed couple,Married or pacsed couple,25553.693,21686.115
Isolated parent,Isolated parent,14662.079,14302.752
Isolated parent,Isolated parent,13176.173,9607.0029
Married or pacsed couple,Married or pacsed couple,14255.526,23920.74
Married or pacsed couple,Married or pacsed couple,43814.035,43405.219
Married or pacsed couple,Married or pacsed couple,60822.133,30756.559
Married or pacsed couple,Married or pacsed couple,71395.461,69813.742
Married or pacsed couple,Married or pacsed couple,28392.99,41922.262
Married or pacsed couple,Married or pacsed couple,,24791.65
Married or pacsed couple,Isolated parent,,18040.469
Married or pacsed couple,Married or pacsed couple,52211.664,51393.695
Cohabitant,Isolated parent,46268.688,25961.592
Married or pacsed couple,Married or pacsed couple,14196.495,7309.3301
Married or pacsed couple,Married or pacsed couple,,54736.254
Married or pacsed couple,Married or pacsed couple,35876.215,44717.082
Married or pacsed couple,Married or pacsed couple,74780.266,102787.39
Married or pacsed couple,Isolated parent,39258.277,46870.516
